column,question_text,type
ProfessionalCloud,"At my company, our applications, databases and services are hosted:",SC
ProfessionalQuestion,"When you have a technical question at work, where do you first go to get an answer?",SC
Industry,What industry is the company you work for in?,SC
JobSatPoints_1,Driving strategy for my team - Assign points to the following attributes of your job according to those that contribute the most to your satisfaction out of 100 total points,SC
JobSatPoints_4,Contributing to open source - Assign points to the following attributes of your job according to those that contribute the most to your satisfaction out of 100 total points,SC
JobSatPoints_5,Securing data and environments - Assign points to the following attributes of your job according to those that contribute the most to your satisfaction out of 100 total points,SC
JobSatPoints_6,Improving quality of code and developer environments - Assign points to the following attributes of your job according to those that contribute the most to your satisfaction out of 100 total points,SC
JobSatPoints_7,"Learning and using new technology, including platforms, APIs and libraries - Assign points to the following attributes of your job according to those that contribute the most to your satisfaction out of 100 total points",SC
JobSatPoints_8,"Designing and building environments, databases, and all things architecture - Assign points to the following attributes of your job according to those that contribute the most to your satisfaction out of 100 total points",SC
JobSatPoints_9,"Being a power user of a tool, developer language or process that others come to for answers and guidance about - Assign points to the following attributes of your job according to those that contribute the most to your satisfaction out of 100 total points",SC
JobSatPoints_10,Working with new and/or top-quality hardware - Assign points to the following attributes of your job according to those that contribute the most to your satisfaction out of 100 total points,SC
JobSatPoints_11,A well-staffed/sourced internal network that makes observability easy so network or runtime issues are addressed and fixed easily - Assign points to the following attributes of your job according to those that contribute the most to your satisfaction out of 100 total points,SC
SurveyLength,How do you feel about the length of the survey this year?,MC
SurveyEase,How easy or difficult was this survey to complete?,MC
ConvertedCompYearly,Converted yearly compensation,TE
JobSat,How satisfied are you in your current professional developer role?,SC
