MainBranch,Age,Employment,RemoteWork,Check,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,TechDoc,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,BuildvsBuy,TechEndorse,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,LanguageAdmired,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,DatabaseAdmired,PlatformHaveWorkedWith,PlatformWantToWorkWith,PlatformAdmired,WebframeHaveWorkedWith,WebframeWantToWorkWith,WebframeAdmired,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,EmbeddedAdmired,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,MiscTechAdmired,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ToolsTechAdmired,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,NEWCollabToolsAdmired,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackAsyncAdmired,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,OfficeStackSyncAdmired,AISearchDevHaveWorkedWith,AISearchDevWantToWorkWith,AISearchDevAdmired,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOHow,SOComm,AISelect,AISent,AIBen,AIAcc,AIComplex,AIToolCurrently Using,AIToolInterested in Using,AIToolNot interested in Using,AINextMuch more integrated,AINextNo change,AINextMore integrated,AINextLess integrated,AINextMuch less integrated,AIThreat,AIEthics,AIChallenges,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Knowledge_9,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Frustration,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSatPoints_1,JobSatPoints_4,JobSatPoints_5,JobSatPoints_6,JobSatPoints_7,JobSatPoints_8,JobSatPoints_9,JobSatPoints_10,JobSatPoints_11,SurveyLength,SurveyEase,ConvertedCompYearly,JobSat
I am a developer by profession,35-44 years old,"Independent contractor, freelancer, or self-employed",Remote,Apples,Bootstrapping a business;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Other (please specify):,NA,NA,25,25,"Developer, full-stack",NA,NA,NA,NA,NA,Mexico,NA,NA,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,NA,NA,Dynamodb;Elasticsearch;Firebase Realtime Database;MariaDB;Microsoft SQL Server;MySQL;SQLite,NA,NA,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Microsoft Azure,NA,NA,Angular;jQuery;React;WordPress,Next.js,NA,NA,NA,NA,Capacitor;Cordova;Ionic,NA,NA,Gradle;npm;Unity 3D;Yarn,NA,NA,Visual Studio Code,NA,NA,MacOS,,Trello,NA,NA,Google Meet;Microsoft Teams;Skype;Slack;Whatsapp;Zoom,NA,NA,NA,NA,NA,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,Quickly finding code solutions,"Yes, somewhat","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA,NA
"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Stack Overflow;How-to videos;Interactive tutorial;Written-based Online Courses;AI,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine;AI-powered search/dev tool (paid),9,3,Data or business analyst,NA,NA,NA,NA,NA,United Republic of Tanzania,NA,NA,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL,Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;SQL,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL,BigQuery,BigQuery,BigQuery,Google Cloud,Cloudflare;Google Cloud,Google Cloud,Express;Node.js,Express;Node.js;Vue.js,Express;Node.js,NA,NA,NA,NA,NA,NA,Docker;Kubernetes;npm,Bun;Docker;Kubernetes;npm,Docker;Kubernetes;npm,Visual Studio Code,Visual Studio Code,Visual Studio Code,Windows,Windows,Asana,Asana,Asana,Google Meet;Whatsapp,Google Meet;Whatsapp,Google Meet;Whatsapp,ChatGPT;Google Gemini,ChatGPT;GitHub Copilot;Google Gemini,ChatGPT;Google Gemini,Stack Overflow,Less than once per month or monthly,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques,"Yes, somewhat",Yes,Very favorable,Increase productivity;Speed up learning,Somewhat trust,Very well at handling complex tasks,Learning about a codebase;Writing code;Debugging and getting help,Documenting code;Testing code,,Learning about a codebase;Writing code;Debugging and getting help,,,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Imitating a person's likeness,NA,Yes,People manager,9,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Agree,1-2 times a week,3-5 times a week,Never,Less than 15 minutes a day,Less than 15 minutes a day,Amount of technical debt;Number of software tools in use;Complexity of tech stack for deployment;Complexity of tech stack for build,AI-assisted technology tool(s),Cloud only (single or multi-cloud),Slack search,Banking/Financial Services,75,0,0,0,100,100,0,0,0,Appropriate in length,Easy,NA,8
"I am not primarily a developer, but I write code sometimes as part of my work/studies",45-54 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Blogs;Books;Written Tutorials;How-to videos;Interactive tutorial;Video-based Online Courses;Written-based Online Courses,API document(s) and/or SDK document(s);First-party knowledge base,34,30,Other (please specify):,NA,NA,NA,NA,NA,Ireland,NA,NA,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;Python;R;SQL;Swift;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Cloud Firestore;Cosmos DB;Microsoft SQL Server,Cloud Firestore;Cosmos DB;Microsoft SQL Server;Redis,Cloud Firestore;Cosmos DB;Microsoft SQL Server,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,ASP.NET;ASP.NET CORE;jQuery;Next.js;Node.js;React,ASP.NET CORE;Next.js;Node.js;React,ASP.NET CORE;Next.js;Node.js;React,NA,NA,NA,NA,NA,NA,Chocolatey;Docker;Kubernetes;npm;NuGet;Visual Studio Solution,Chocolatey;Docker;Kubernetes;npm;NuGet;Visual Studio Solution;Vite,Chocolatey;Docker;Kubernetes;npm;NuGet;Visual Studio Solution,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code;Xcode,Notepad++;Visual Studio;Visual Studio Code,Windows,Windows;Windows Subsystem for Linux (WSL),Azure Devops;Jira;Miro,Azure Devops;Jira;Miro,Azure Devops;Jira;Miro,Microsoft Teams;Whatsapp,Microsoft Teams;Whatsapp,Microsoft Teams;Whatsapp,ChatGPT;GitHub Copilot;WolframAlpha;Visual Studio Intellicode,ChatGPT;GitHub Copilot;WolframAlpha;Visual Studio Intellicode,ChatGPT;GitHub Copilot;WolframAlpha;Visual Studio Intellicode,Stack Overflow;Stack Overflow Blog or Podcast,A few times per week,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"No, not really",Yes,Indifferent,Increase productivity;Speed up learning;Improve accuracy in coding,Somewhat trust,Neither good or bad at handling complex tasks,Writing code;Debugging and getting help,Learning about a codebase;Generating content or synthetic data,,,,Writing code;Debugging and getting help,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Imitating a person's likeness,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Not everyone uses them",Yes,Individual contributor,30,Strongly agree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,3-5 times a week,3-5 times a week,6-10 times a week,30-60 minutes a day,30-60 minutes a day,Complexity of tech stack for deployment;Complexity of tech stack for build,DevOps function;Automated testing;Observability tools;Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Healthcare,10,0,5,30,5,40,5,5,0,Appropriate in length,Easy,NA,8
I code primarily as a hobby,Under 18 years old,I prefer not to say,NA,Apples,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)","Technical documentation;Books;Written Tutorials;Stack Overflow;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine,5,NA,Student,NA,NA,NA,NA,NA,United States of America,NA,NA,Java;JavaScript;Kotlin;Lua;MicroPython;Python;Rust;Scala;TypeScript,Java;JavaScript;Kotlin;Lua;Python;TypeScript,Java;JavaScript;Kotlin;Lua;Python;TypeScript,MongoDB,MongoDB,MongoDB,NA,NA,NA,Flask,Flask,Flask,LLVM's Clang;Meson;Rasberry Pi,Rasberry Pi,Rasberry Pi,GTK;Ktor;Opencv,GTK;Ktor,GTK;Ktor,APT;Gradle;npm;Pip;Webpack,APT;Gradle;npm;Pip;Webpack,APT;Gradle;npm;Pip;Webpack,IntelliJ IDEA;Nano;Visual Studio Code,IntelliJ IDEA;Nano;Visual Studio Code,IntelliJ IDEA;Nano;Visual Studio Code,Android;ChromeOS;Debian;Windows;Other (please specify):,,Markdown File,Markdown File,Markdown File,Discord,Discord,Discord,NA,NA,NA,Stack Overflow;Stack Exchange;Overflow API,A few times per week,Yes,A few times per month or weekly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"Yes, somewhat","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,NA,NA
I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification",Blogs;Books;Written Tutorials;How-to videos;Video-based Online Courses,NA,12,8,"Developer, back-end",NA,NA,NA,NA,NA,Germany,NA,NA,Go,Go,Go,Dynamodb;MariaDB,NA,NA,Amazon Web Services (AWS);Google Cloud,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Docker;Homebrew;Make,Docker,Docker,Goland;Visual Studio Code,Goland;Visual Studio Code,Goland;Visual Studio Code,Windows,MacOS,Confluence;Jira;Miro,NA,NA,Discord;Google Meet;Slack;Zoom,Discord;Google Meet;Slack,Discord;Google Meet;Slack,ChatGPT,ChatGPT,ChatGPT,Stack Overflow;Stack Exchange,A few times per month or weekly,Not sure/can't remember,NA,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"No, not really","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,8,Agree,Disagree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree,1-2 times a week,1-2 times a week,Never,15-30 minutes a day,30-60 minutes a day,Amount of technical debt;Number of software tools in use;Reliability of tools/systems used in work,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Cloud only (single or multi-cloud),Slack search,Software Development,25,0,0,35,25,0,10,5,0,Appropriate in length,Easy,NA,8
I am a developer by profession,35-44 years old,"Employed, full-time",Remote,Apples,Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);Written-based Online Courses,API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine;AI-powered search/dev tool (free),15,12,Engineering manager,NA,NA,NA,NA,NA,Japan,NA,NA,HTML/CSS;Java;JavaScript;Python;TypeScript,C#;HTML/CSS;JavaScript;Python;TypeScript,HTML/CSS;JavaScript;Python;TypeScript,Cloud Firestore;Dynamodb;Elasticsearch;MySQL;Redis,Cloud Firestore;Dynamodb;Redis,Cloud Firestore;Dynamodb;Redis,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Heroku;Managed Hosting;Netlify,Digital Ocean;Firebase;Netlify,Digital Ocean;Firebase;Netlify,Elm;Express;FastAPI;Fastify;Gatsby;NestJS;Next.js;Node.js;Nuxt.js;React;Vue.js,Fastify;Next.js;Node.js;Nuxt.js;React;Solid.js;Svelte;Vue.js,Fastify;Next.js;Node.js;Nuxt.js;React;Vue.js,NA,NA,NA,Apache Kafka;Apache Spark;Flutter;React Native,NA,NA,Chocolatey;Docker;Homebrew;Kubernetes;Maven (build tool);npm;pnpm;Vite;Webpack;Yarn,Chocolatey;Docker;Homebrew;npm;pnpm;Yarn,Chocolatey;Docker;Homebrew;npm;pnpm;Yarn,IntelliJ IDEA;Visual Studio Code;Xcode,Visual Studio Code,Visual Studio Code,MacOS;Windows;Windows Subsystem for Linux (WSL),MacOS;Windows,Airtable;Asana;Basecamp;Clickup;Confluence;GitHub Discussions;Jira;Miro;Notion;Obsidian,Airtable;Asana;GitHub Discussions;Jira,Airtable;Asana;GitHub Discussions;Jira,Discord;Google Meet;Slack;Zoom,Discord;Slack;Zoom,Discord;Slack;Zoom,ChatGPT;GitHub Copilot;Visual Studio Intellicode,ChatGPT;GitHub Copilot;OpenAI Codex;Visual Studio Intellicode,ChatGPT;GitHub Copilot;Visual Studio Intellicode,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Learning new-to-me technology/techniques,"Yes, definitely",Yes,Favorable,Increase productivity;Greater efficiency,Somewhat distrust,Bad at handling complex tasks,Writing code;Documenting code;Predictive analytics;Search for answers;Generating content or synthetic data,Learning about a codebase;Debugging and getting help;Committing and reviewing code;Deployment and monitoring,Project planning;Testing code,Writing code;Generating content or synthetic data,Documenting code,Predictive analytics;Search for answers,,,No,NA,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",Yes,People manager,12,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,1-2 times a week,3-5 times a week,1-2 times a week,Less than 15 minutes a day,30-60 minutes a day,Amount of technical debt;Complexity of tech stack for build,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),AI-powered search (paid),Software Development,60,5,0,10,5,20,0,0,0,Appropriate in length,Easy,NA,10
I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed;Employed, part-time","Hybrid (some remote, some in-person)",Apples,Bootstrapping a business;Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Technical documentation;Blogs;Written Tutorials;Stack Overflow;How-to videos,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base,13,5,"Developer, front-end",NA,NA,NA,NA,NA,Austria,NA,NA,HTML/CSS;Kotlin;Objective-C;Python;Ruby;Swift;TypeScript,HTML/CSS;Python;Swift;TypeScript,HTML/CSS;Python;Swift;TypeScript,NA,NA,NA,NA,NA,NA,Angular;WordPress,Angular,Angular,NA,NA,NA,Ionic,Flutter;Ionic,Ionic,Docker;Homebrew;npm,Docker;Homebrew;npm,Docker;Homebrew;npm,Android Studio;Visual Studio Code;Xcode,Visual Studio Code;Xcode,Visual Studio Code;Xcode,iOS;MacOS,iOS;MacOS,Azure Devops;Clickup;Confluence;Markdown File;Miro;Redmine,Azure Devops;Clickup;Confluence;Markdown File;Miro,Azure Devops;Clickup;Confluence;Markdown File;Miro,Discord;Google Meet;Microsoft Teams;Slack;Zoom,Discord;Google Meet;Microsoft Teams;Slack,Discord;Google Meet;Microsoft Teams;Slack,ChatGPT,ChatGPT,ChatGPT,Stack Overflow;Stack Overflow Blog or Podcast,Daily or almost daily,Yes,Daily or almost daily,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"Yes, definitely",Yes,Favorable,Increase productivity;Greater efficiency,Somewhat distrust,Neither good or bad at handling complex tasks,Search for answers,Learning about a codebase,,,,Search for answers,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA,NA
I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Blogs;Video-based Online Courses;Certification videos;Programming Games,API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine,11,8,"Developer, back-end",NA,NA,NA,NA,NA,India,NA,NA,Go;Python,Go;Python,Go;Python,BigQuery;Elasticsearch;PostgreSQL,Dynamodb;PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Django;FastAPI;React,Django;FastAPI;React,Django;FastAPI;React,NA,NA,NA,Apache Kafka;NumPy;Pandas;Torch/PyTorch,Apache Kafka;NumPy;Pandas;Torch/PyTorch,Apache Kafka;NumPy;Pandas;Torch/PyTorch,Docker;Kubernetes;Pip,Docker;Kubernetes;Pip,Docker;Kubernetes;Pip,Jupyter Notebook/JupyterLab;Visual Studio Code,Jupyter Notebook/JupyterLab;Visual Studio Code,Jupyter Notebook/JupyterLab;Visual Studio Code,MacOS;Ubuntu,MacOS;Ubuntu,Confluence;Jira,Confluence;Jira,Confluence;Jira,Google Meet;Slack,Google Meet;Slack,Google Meet;Slack,ChatGPT;Perplexity AI,ChatGPT;Perplexity AI,ChatGPT;Perplexity AI,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"Yes, somewhat",Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning;Make workload more manageable,Neither trust nor distrust,"Good, but not great at handling complex tasks",Debugging and getting help,Documenting code;Predictive analytics;Search for answers;Generating content or synthetic data,Learning about a codebase;Project planning;Writing code;Testing code;Committing and reviewing code;Deployment and monitoring,,,Debugging and getting help,,,No,Biased results that do not represent diverse viewpoints;Energy demand,Don’t trust the output or answers,Yes,Individual contributor,7,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Never,1-2 times a week,1-2 times a week,15-30 minutes a day,30-60 minutes a day,Showing my contributions,DevOps function;Automated testing;Observability tools;AI-assisted technology tool(s);Microservices,Cloud only (single or multi-cloud),A coworker,Software Development,0,0,0,0,0,0,0,0,0,Too long,Easy,NA,8
I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed",Remote,Apples,Contribute to open-source projects;Bootstrapping a business;School or academic work;Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Books / Physical media,NA,NA,18,10,"Developer, full-stack",NA,NA,NA,NA,NA,United States of America,NA,NA,Assembly;Bash/Shell (all shells);C;C#;C++;Dart;Go;HTML/CSS;Java;Kotlin;Python;Rust;SQL,Assembly;Bash/Shell (all shells);C;C#;C++;Dart;Go;HTML/CSS;Java;Python;Rust;SQL;Zig,Assembly;Bash/Shell (all shells);C;C#;C++;Dart;Go;HTML/CSS;Java;Python;Rust;SQL,BigQuery;Cloud Firestore;Oracle;SQLite,BigQuery;Cloud Firestore;Oracle;SQLite,BigQuery;Cloud Firestore;Oracle;SQLite,Amazon Web Services (AWS);Google Cloud;PythonAnywhere,Amazon Web Services (AWS);Google Cloud;Heroku;PythonAnywhere,Amazon Web Services (AWS);Google Cloud;PythonAnywhere,NA,NA,NA,build2;CMake;GNU GCC;Rasberry Pi,build2;CMake;GNU GCC;Rasberry Pi,build2;CMake;GNU GCC;Rasberry Pi,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;CUDA;Flutter;Qt;SwiftUI;TensorFlow;Torch/PyTorch,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;CUDA;Flutter;TensorFlow;Torch/PyTorch,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;CUDA;Flutter;TensorFlow;Torch/PyTorch,Chocolatey;Homebrew;Kubernetes;Make;Maven (build tool);Pip;Unity 3D;Unreal Engine;Visual Studio Solution,Chocolatey;Homebrew;Kubernetes;Make;Maven (build tool);Pip;Unity 3D;Unreal Engine;Visual Studio Solution,Chocolatey;Homebrew;Kubernetes;Make;Maven (build tool);Pip;Unity 3D;Unreal Engine;Visual Studio Solution,Android Studio;CLion;Code::Blocks;Geany;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Neovim;PhpStorm;PyCharm;RStudio;RubyMine;Visual Studio;Visual Studio Code;Xcode,Android Studio;CLion;Code::Blocks;IntelliJ IDEA;Neovim;PhpStorm;PyCharm;Sublime Text;Visual Studio;Visual Studio Code;Xcode,Android Studio;CLion;Code::Blocks;IntelliJ IDEA;Neovim;PhpStorm;PyCharm;Visual Studio;Visual Studio Code;Xcode,MacOS;Ubuntu;Windows,MacOS;Ubuntu;Windows,NA,NA,NA,NA,NA,NA,ChatGPT;Claude;Google Gemini;Lightning AI;Meta AI;OpenAI Codex;Phind;Tabnine;Whispr AI,ChatGPT;Claude;Google Gemini;Lightning AI;Meta AI;OpenAI Codex;Phind;Tabnine;Visual Studio Intellicode,ChatGPT;Claude;Google Gemini;Lightning AI;Meta AI;OpenAI Codex;Phind;Tabnine,Stack Overflow;Stack Overflow Blog or Podcast,Daily or almost daily,Yes,A few times per week,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques,"Yes, somewhat",Yes,Favorable,Increase productivity,Somewhat distrust,Bad at handling complex tasks,Documenting code;Debugging and getting help,Writing code;Testing code,Learning about a codebase;Project planning;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data,Documenting code;Debugging and getting help,,,,,Yes,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Imitating a person's likeness,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;They create more work (more code/PRs to review, etc.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,NA,NA,NA
I am a developer by profession,35-44 years old,"Independent contractor, freelancer, or self-employed",Remote,Apples,Hobby;Bootstrapping a business;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification","Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);Social Media;How-to videos;Video-based Online Courses;Auditory material (e.g., podcasts)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine,30,23,"Developer, full-stack",NA,NA,NA,NA,NA,United States of America,NA,NA,C#;C++;HTML/CSS;JavaScript;PowerShell;SQL,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;SQL,Microsoft SQL Server;SQLite,Cosmos DB;Firebase Realtime Database;Firebird;Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Firebase;Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET CORE;jQuery,ASP.NET CORE;Blazor;Htmx;jQuery;Next.js;Svelte,ASP.NET CORE;jQuery,Arduino;Rasberry Pi,Arduino;Rasberry Pi,Arduino;Rasberry Pi,.NET (5+) ;.NET Framework (1.0 - 4.8),.NET (5+) ,.NET (5+) ,MSBuild;npm;NuGet;Visual Studio Solution,MSBuild;NuGet,MSBuild;NuGet,Nano;Vim;Visual Studio;Visual Studio Code,Nano;Vim;Visual Studio Code,Nano;Vim;Visual Studio Code,iOS;iPadOS;MacOS;Ubuntu;Windows,MacOS;Windows,Airtable;Azure Devops,Azure Devops,Azure Devops,Google Chat;Google Meet;Slack;Zoom,Google Chat;Google Meet;Slack,Google Chat;Google Meet;Slack,GitHub Copilot;Visual Studio Intellicode,GitHub Copilot;Visual Studio Intellicode,GitHub Copilot;Visual Studio Intellicode,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,A few times per week,Yes,A few times per month or weekly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, somewhat",Yes,Favorable,Increase productivity;Greater efficiency,Somewhat trust,"Good, but not great at handling complex tasks",Writing code;Committing and reviewing code,Documenting code;Debugging and getting help;Testing code;Search for answers;Generating content or synthetic data,,,,Writing code;Committing and reviewing code,,,No,Missing or incorrect attribution for sources of data;Imitating a person's likeness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,NA,NA
